Week,Team_1,Team_2,Team 1_Score,Team 2_Score,Winner,MarginScore
Week 1,Telugu Titans,U Mumba,25,31,U Mumba,-6
Week 1,Bengaluru Bulls,Patna Pirates,34,32,Bengaluru Bulls,2
Week 1,Bengaluru Bulls,Fortune Giants,24,42,Fortune Giants,-18
Week 1,Telugu Titans,Tamil Thalaivas,26,39,Tamil Thalaivas,-13
Week 1,U Mumba,Pink Panthers,23,42,Pink Panthers,-19
Week 1,Puneri Paltan,Haryana Steelers,24,34,Haryana Steelers,-10
Week 1,UP Yoddha,Bengal Warriors,17,48,Bengal Warriors,-31
Week 1,Telugu Titans,Dabang Delhi,30,29,Telugu Titans,1
Week 1,UP Yoddha,Fortune Giants,19,44,Fortune Giants,-25
Week 1,Telugu Titans,Patna Pirates,22,34,Patna Pirates,-12
Week 2,U Mumba,Puneri Paltan,33,23,U Mumba,10
Week 2,Pink Panthers,Bengal Warriors,27,25,Pink Panthers,2
Week 2,Dabang Delhi,Haryana Steelers,41,21,Dabang Delhi,20
Week 2,U Mumba,Bengaluru Bulls,26,30,Bengaluru Bulls,-4
Week 2,Tamil Thalaivas,Patna Pirates,23,24,Patna Pirates,-1
Week 2,Bengal Warriors,Puneri Paltan,43,23,Bengal Warriors,20
Week 2,Haryana Steelers,Pink Panthers,21,37,Pink Panthers,-16
Week 2,U Mumba,UP Yoddha,23,27,UP Yoddha,-4
Week 2,Fortune Giants,Dabang Delhi,32,26,Fortune Giants,6
Week 2,Telugu Titans,UP Yoddha,20,20,UP Yoddha,0
Week 2,U Mumba,Fortune Giants,32,20,U Mumba,12
Week 3,Patna Pirates,Pink Panthers,21,34,Pink Panthers,-13
Week 3,Bengal Warriors,Bengaluru Bulls,42,43,Bengaluru Bulls,-1
Week 3,Haryana Steelers,Tamil Thalaivas,28,35,Tamil Thalaivas,-7
Week 3,Patna Pirates,Puneri Paltan,20,41,Puneri Paltan,-21
Week 3,Dabang Delhi,Pink Panthers,35,24,Dabang Delhi,11
Week 3,Fortune Giants,Puneri Paltan,31,33,Puneri Paltan,-2
Week 3,UP Yoddha,Tamil Thalaivas,28,28,Tamil Thalaivas,0
Week 3,Patna Pirates,Haryana Steelers,26,35,Haryana Steelers,-9
Week 3,Telugu Titans,Bengaluru Bulls,26,47,Bengaluru Bulls,-21
Week 3,Bengal Warriors,U Mumba,32,32,U Mumba,0
Week 3,Patna Pirates,UP Yoddha,41,20,Patna Pirates,21
Week 4,Fortune Giants,Tamil Thalaivas,28,34,Tamil Thalaivas,-6
Week 4,Puneri Paltan,Dabang Delhi,30,32,Dabang Delhi,-2
Week 4,Bengaluru Bulls,Haryana Steelers,30,33,Haryana Steelers,-3
Week 4,Fortune Giants,Telugu Titans,24,30,Telugu Titans,-6
Week 4,Bengal Warriors,Telugu Titans,29,29,Telugu Titans,0
Week 4,UP Yoddha,Bengaluru Bulls,35,33,UP Yoddha,2
Week 4,UP Yoddha,Haryana Steelers,33,36,Haryana Steelers,-3
Week 4,Fortune Giants,Bengal Warriors,26,28,Bengal Warriors,-2
Week 4,Pink Panthers,Puneri Paltan,33,25,Pink Panthers,8
Week 4,U Mumba,Patna Pirates,34,30,U Mumba,4
Week 4,Fortune Giants,Pink Panthers,19,22,Pink Panthers,-3
Week 5,Tamil Thalaivas,Bengaluru Bulls,21,32,Bengaluru Bulls,-11
Week 5,Bengal Warriors,Dabang Delhi,30,30,Dabang Delhi,0
Week 5,Haryana Steelers,Telugu Titans,29,40,Telugu Titans,-11
Week 5,Tamil Thalaivas,Puneri Paltan,31,31,Puneri Paltan,0
Week 5,U Mumba,Haryana Steelers,27,30,Haryana Steelers,-3
Week 5,UP Yoddha,Pink Panthers,31,24,UP Yoddha,7
Week 5,Puneri Paltan,Bengaluru Bulls,31,23,Puneri Paltan,8
Week 5,Tamil Thalaivas,Pink Panthers,26,28,Pink Panthers,-2
Week 5,Bengal Warriors,Patna Pirates,35,26,Bengal Warriors,9
Week 5,Fortune Giants,Patna Pirates,29,26,Fortune Giants,3
Week 5,Tamil Thalaivas,U Mumba,24,29,U Mumba,-5
Week 6,Dabang Delhi,Bengaluru Bulls,33,31,Dabang Delhi,2
Week 6,Pink Panthers,Telugu Titans,21,24,Telugu Titans,-3
Week 6,Pink Panthers,Bengaluru Bulls,30,41,Bengaluru Bulls,-11
Week 6,Dabang Delhi,UP Yoddha,36,27,Dabang Delhi,9
Week 6,Bengal Warriors,Haryana Steelers,33,36,Haryana Steelers,-3
Week 6,UP Yoddha,Puneri Paltan,35,30,UP Yoddha,5
Week 6,Fortune Giants,Haryana Steelers,25,41,Haryana Steelers,-16
Week 6,Dabang Delhi,U Mumba,40,24,Dabang Delhi,16
Week 6,Bengal Warriors,Tamil Thalaivas,35,26,Bengal Warriors,9
Week 6,Telugu Titans,Puneri Paltan,27,34,Puneri Paltan,-7
Week 6,Dabang Delhi,Patna Pirates,38,35,Dabang Delhi,3
Week 7,Bengaluru Bulls,Fortune Giants,23,32,Fortune Giants,-9
Week 7,U Mumba,Pink Panthers,47,21,U Mumba,26
Week 7,UP Yoddha,Bengal Warriors,32,29,UP Yoddha,3
Week 7,Bengaluru Bulls,Tamil Thalaivas,33,27,Bengaluru Bulls,6
Week 7,Puneri Paltan,Haryana Steelers,27,41,Haryana Steelers,-14
Week 7,Telugu Titans,Tamil Thalaivas,35,30,Telugu Titans,5
Week 7,Pink Panthers,Dabang Delhi,44,46,Dabang Delhi,-2
Week 7,Bengaluru Bulls,Patna Pirates,40,39,Bengaluru Bulls,1
Week 7,Puneri Paltan,U Mumba,33,33,U Mumba,0
Week 7,Patna Pirates,UP Yoddha,29,41,UP Yoddha,-12
Week 7,Bengaluru Bulls,Telugu Titans,40,39,Bengaluru Bulls,1
Week 8,Bengal Warriors,Fortune Giants,25,25,Fortune Giants,0
Week 8,Dabang Delhi,Haryana Steelers,25,47,Haryana Steelers,-22
Week 8,Dabang Delhi,Tamil Thalaivas,50,34,Dabang Delhi,16
Week 8,Bengal Warriors,Puneri Paltan,42,39,Bengal Warriors,3
Week 8,UP Yoddha,Fortune Giants,33,26,UP Yoddha,7
Week 8,Tamil Thalaivas,Patna Pirates,25,51,Patna Pirates,-26
Week 8,Telugu Titans,U Mumba,27,41,U Mumba,-14
